From Date,RH_avg,AT_avg,WS_avg,calibPM
2024-07-01 00:00:00,70.52,27.83,0.58,68.25190839694656
2024-07-01 01:00:00,59.23783391405343,28.425,0.64,85.19849056603773
2024-07-01 02:00:00,59.20116724738676,28.16,0.56,65.93360655737705
2024-07-01 03:00:00,59.17116724738676,27.700000000000003,0.5866666666666668,79.784375
2024-07-01 04:00:00,59.13783391405343,27.605,0.45,68.01737089201879
2024-07-01 05:00:00,59.12783391405343,27.63,0.5766666666666667,60.86076555023924
2024-07-01 06:00:00,59.24783391405342,27.67,0.5133333333333333,51.43125
2024-07-01 07:00:00,58.57116724738677,28.255,0.57,43.92426470588235
2024-07-01 08:00:00,64.5,28.81,0.7866666666666666,60.42985611510792
2024-07-01 09:00:00,61.88333333333333,29.185,0.8866666666666667,54.857620817843866
2024-07-01 10:00:00,63.36666666666667,29.94,0.9766666666666666,94.09963898916968
2024-07-01 11:00:00,61.97666666666667,31.840000000000003,0.9566666666666668,95.19848484848484
2024-07-01 12:00:00,54.39333333333334,31.265,1.096666666666667,66.80749063670412
2024-07-01 13:00:00,52.23666666666667,31.78,1.0266666666666666,60.701107011070114
2024-07-01 14:00:00,50.23333333333333,32.015,1.0433333333333332,58.35517241379311
2024-07-01 15:00:00,58.830000000000005,33.485,0.9333333333333336,50.82932330827068
2024-07-01 16:00:00,67.03666666666668,34.58,0.8066666666666666,46.45
2024-07-01 17:00:00,68.86,34.45,0.7733333333333333,47.70821256038648
2024-07-01 18:00:00,77.72666666666667,31.325000000000003,0.7766666666666667,52.61141552511416
2024-07-01 19:00:00,80.40333333333335,30.94,0.8266666666666667,60.87358490566038
2024-07-01 20:00:00,81.83,30.78,0.5099999999999999,64.7586046511628
2024-07-01 21:00:00,83.97,30.665,0.6466666666666666,71.48066037735849
2024-07-01 22:00:00,86.16333333333334,30.56,0.7399999999999999,86.8712962962963
2024-07-01 23:00:00,80.00116724738677,27.3557546728972,0.5659063686824423,80.90380952380951
2024-07-02 00:00:00,80.5945005807201,27.9557546728972,0.6692397020157755,91.3431924882629
2024-07-02 01:00:00,78.9245005807201,27.3607546728972,0.5559063686824423,88.87008928571429
2024-07-02 02:00:00,78.0245005807201,27.3557546728972,0.6959063686824423,71.7889400921659
2024-07-02 03:00:00,77.20450058072011,27.3557546728972,0.712573035349109,65.64529147982063
2024-07-02 04:00:00,79.5545005807201,27.3557546728972,0.8192397020157757,71.2745247148289
2024-07-02 05:00:00,85.38783391405343,27.3557546728972,0.7859063686824422,62.62481203007519
2024-07-02 06:00:00,85.39783391405342,27.3507546728972,0.7659063686824422,62.40975609756097
2024-07-02 07:00:00,85.4045005807201,27.3557546728972,0.6859063686824421,69.20429042904291
2024-07-02 08:00:00,85.44116724738677,27.3507546728972,0.7859063686824422,76.15752895752895
2024-07-02 09:00:00,82.6245005807201,27.3557546728972,0.6659063686824424,120.3615969581749
2024-07-02 10:00:00,87.91000000000001,31.075000000000003,0.8333333333333334,130.52252252252254
2024-07-02 11:00:00,80.15666666666665,33.005,0.8266666666666667,72.0488038277512
2024-07-02 12:00:00,75.29,33.305,0.75,41.84039408866995
2024-07-02 13:00:00,67.58,34.120000000000005,0.6366666666666666,39.58041237113402
2024-07-02 14:00:00,65.36,34.14,0.8633333333333333,35.75048076923077
2024-07-02 15:00:00,68.20666666666666,33.06,0.7200000000000001,48.80471698113208
2024-07-02 16:00:00,79.46,30.89,0.8166666666666668,75.36173913043478
2024-07-02 17:00:00,83.41666666666667,30.12,0.6566666666666666,46.63827751196172
2024-07-02 18:00:00,73.29116724738675,29.86,0.7633333333333333,37.28407960199005
2024-07-02 19:00:00,75.40116724738677,29.955,0.6766666666666667,38.21448598130841
2024-07-02 20:00:00,78.24783391405343,29.815,0.84,55.76901408450705
2024-07-02 21:00:00,79.56116724738676,29.68,0.7733333333333333,57.03490566037736
2024-07-02 22:00:00,84.34116724738676,29.365,0.7266666666666667,78.3521327014218
2024-07-02 23:00:00,84.73116724738676,29.295,0.59,74.16168224299065
2024-07-03 00:00:00,84.46783391405343,28.195,0.6833333333333332,64.45871559633028
2024-07-03 01:00:00,84.74783391405343,29.175,0.8533333333333334,74.93893442622951
2024-07-03 02:00:00,84.7445005807201,29.11,0.7066666666666667,83.71843137254902
2024-07-03 03:00:00,84.73116724738675,29.18,0.6166666666666666,73.01048387096773
2024-07-03 04:00:00,84.80116724738674,29.265,0.61,56.42950819672131
2024-07-03 05:00:00,81.0545005807201,29.74,0.6066666666666667,56.73181818181818
2024-07-03 06:00:00,77.78450058072009,30.085,0.5766666666666667,50.515023474178406
2024-07-03 07:00:00,89.65666666666668,30.475,0.5299999999999999,46.67762557077626
2024-07-03 08:00:00,87.92666666666666,30.85,0.67,48.82754237288136
2024-07-03 09:00:00,75.55940577757822,29.153691893105773,0.5380877921654859,47.920731707317074
2024-07-03 10:00:00,70.02273911091154,29.64869189310577,0.6680877921654859,46.23627906976744
2024-07-03 11:00:00,73.82666666666667,32.135,1.0066666666666668,37.43478260869565
2024-07-03 12:00:00,81.89333333333333,31.635,1.22,87.02085308056873
2024-07-03 13:00:00,82.14999999999999,31.565,2.026666666666667,125.44622641509432
2024-07-03 14:00:00,85.33999999999999,30.87,1.6866666666666668,104.59629629629627
2024-07-03 15:00:00,73.0645005807201,27.915,0.7733333333333334,45.86926605504587
2024-07-03 16:00:00,60.8845005807201,26.265,1.0066666666666666,43.91244979919679
2024-07-03 17:00:00,61.054500580720095,26.745,0.7666666666666666,44.55511111111111
